USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           215     2       0      0 0                   0 I [WCNSS_DATA]
root           216     2       0      0 0                   0 I [WCNSS_CMD]
root           217     2       0      0 0                   0 I [WCNSS_DCI]
root           218     2       0      0 0                   0 I [WCNSS_DCI_CMD]
root           219     2       0      0 0                   0 I [SENSORS_CNTL]
root           220     2       0      0 0                   0 I [SENSORS_DATA]
root           221     2       0      0 0                   0 I [SENSORS_CMD]
root           222     2       0      0 0                   0 I [SENSORS_DCI]
root           223     2       0      0 0                   0 I [SENSORS_DCI_CMD]
root           224     2       0      0 0                   0 I [DIAG_CTRL]
root           225     2       0      0 0                   0 I [DIAG_DATA]
root           226     2       0      0 0                   0 I [DIAG_CMD]
root           227     2       0      0 0                   0 I [DIAG_DCI_DATA]
root           228     2       0      0 0                   0 I [DIAG_DCI_CMD]
root           229     2       0      0 0                   0 I [CDSP_CNTL]
root           230     2       0      0 0                   0 I [CDSP_DATA]
root           231     2       0      0 0                   0 I [CDSP_CMD]
root           232     2       0      0 0                   0 I [CDSP_DCI]
root           233     2       0      0 0                   0 I [CDSP_DCI_CMD]
root           234     2       0      0 0                   0 I [NPU_CNTL]
root           235     2       0      0 0                   0 I [NPU_DATA]
root           236     2       0      0 0                   0 I [NPU_CMD]
root           237     2       0      0 0                   0 I [NPU_DCI]
root           238     2       0      0 0                   0 I [NPU_DCI_CMD]
root           239     2       0      0 0                   0 I [DIAG_RPMSG_APPS]
root           240     2       0      0 0                   0 I [DIAG_RPMSG_APPS]
root           241     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           242     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           243     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           244     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           245     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           246     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           247     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           248     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           255     2       0      0 0                   0 S [irq/157-arm-smm]
root           256     2       0      0 0                   0 S [irq/162-arm-smm]
root           257     2       0      0 0                   0 S [irq/262-esd_err]
root           258     2       0      0 0                   0 S [crtc_commit:108]
root           259     2       0      0 0                   0 S [crtc_event:108]
root           260     2       0      0 0                   0 S [crtc_commit:160]
root           261     2       0      0 0                   0 S [crtc_event:160]
root           262     2       0      0 0                   0 S [pp_event]
root           263     2       0      0 0                   0 I [kgsl-workqueue]
root           264     2       0      0 0                   0 I [kgsl-mementry]
root           265     2       0      0 0                   0 S [kgsl_worker_thr]
root           266     2       0      0 0                   0 S [irq/146-arm-smm]
root           267     2       0      0 0                   0 S [irq/116-arm-smm]
root           268     2       0      0 0                   0 S [irq/147-arm-smm]
root           269     2       0      0 0                   0 S [irq/148-arm-smm]
root           270     2       0      0 0                   0 I [kgsl-events]
root           271     2       0      0 0                   0 I [kgsl_devfreq_wq]
root           272     2       0      0 0                   0 S [qseecom-unreg-l]
root           273     2       0      0 0                   0 S [qseecom-unload-]
root           274     2       0      0 0                   0 I [memory_wq]
root           275     2       0      0 0                   0 S [irq/300-md_test]
